Year,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa,Total Emissions
1990-01-01,98.373009064,426.580141911,73.86395324200001,137.802569032,34.55623615,2.6361761710000002,27.117813713,800.929899283
1991-01-01,99.802271235,410.837271527,74.914989096,143.802468928,33.74441739,2.7238933440000004,27.625659418999998,793.4509709390001
1992-01-01,98.386978922,381.689259141,82.343662322,143.77877788,34.05109455,3.037817626,29.435103061,772.722693502
1993-01-01,99.655950773,361.074327979,76.29875602199999,152.77397742099998,33.93171922,2.952126852,29.132057014,755.818915281
1994-01-01,101.00344573,345.18257586,76.258302543,159.803849108,34.31655719,3.023853718,28.787869925000003,748.3764540740001
1995-01-01,103.124328871,335.477590517,78.760998087,162.442156713,34.50751149,3.375509613,29.691015200000002,747.379110491
1996-01-01,103.182183077,343.361998972,79.581011951,166.411934795,35.16797067,3.661086005,31.046645493,762.412830963
1997-01-01,104.81529891699999,335.88620917000003,82.659459091,174.492070427,36.27484071,3.896620869,32.271408668,770.2959078520001
1998-01-01,99.862843303,335.422792086,87.639061625,173.730180994,36.342812269999996,3.7723119460000003,34.178591439,770.9485936629999
1999-01-01,100.667708752,327.488471035,86.554619291,175.855354328,36.359655200000006,4.341482449,36.247834305,767.51512536
2000-01-01,104.515050754,328.769205535,84.308048162,173.100384907,37.22743309,4.503186509,33.974151866,766.3974608230001
2001-01-01,104.504259968,334.065709592,87.293672014,175.752293796,36.50309956,4.576268116,36.734724748,779.430027794
2002-01-01,104.556734706,336.609510057,88.166082054,179.577981027,36.16585049,5.045679827,38.126868404999996,788.2487065659999
2003-01-01,106.78157024299999,350.889543403,90.877967817,180.678290952,36.71480106,4.79543587,39.116191432,809.8538007770001
2004-01-01,108.546593547,354.336624349,92.04314197,176.90332482,36.39190046,5.620843997,41.278704746,815.1211338889999
2005-01-01,109.006391054,352.026378532,93.906316912,173.382784343,36.49674775,5.630202251,44.15384878,814.6026696220001
2006-01-01,114.514067421,355.826834149,97.893100093,173.137429057,35.54126365,6.045115025,44.826153427,827.7839628219999
2007-01-01,113.164572265,356.16379394899997,100.041402539,169.280747808,36.42348363,6.196805204,43.061826462,824.332631857
2008-01-01,114.181050764,352.470633069,100.729761379,167.39659147400002,34.83541743,6.164041438,44.747921205,820.5254167590001
2009-01-01,111.879279125,323.069738596,163.16894807100002,160.230818409,32.31084365,6.392352492,44.297187737,841.34916808
2010-01-01,112.584034614,336.058511818,100.88238809399999,161.797462004,33.22387972,6.740204633,44.74082352,796.0273044030001
2011-01-01,113.811910097,330.701015938,107.527253723,159.110187766,32.60016247,7.292715535,43.95530033,794.9985458589999
2012-01-01,114.239995929,321.189952859,119.29494741900001,166.565667481,31.5242566,7.749087459,43.631622376,804.1955301229999
2013-01-01,115.13546184799999,316.231169173,104.99185947400001,163.399399286,31.9496447,7.477978038,43.671659697,782.8571722159999
2014-01-01,114.067627966,299.593459693,103.144720656,164.477529063,31.890826439999998,8.241142916,43.759554425,765.174861159
2015-01-01,113.918364743,296.797126644,102.749713653,161.797789375,31.20862057,8.411530811,42.547118944,757.43026474
2016-01-01,117.2790832,297.071286902,100.662825289,158.516955011,30.57048691,9.547236409,43.07300985,756.7208835709998
2017-01-01,121.966612957,299.601600064,97.555050044,156.496771567,30.36783191,9.90726371,41.824695701,757.719825953
2018-01-01,121.807263609,297.051215634,99.377463312,150.53855781500002,30.87312669,10.381212054,42.100813804,752.1296529180001
2019-01-01,121.131826349,286.244382528,100.148730132,153.082133345,30.10402344,10.304684996,41.702447579,742.718228369
